"ds","y","cap"
"1958-06-01",22.67559915,25.622
"1958-07-01",23.49032764,25.622
"1958-08-01",23.15164017,25.622
"1958-09-01",21.54093476,25.622
"1958-10-01",18.47243989,25.622
"1958-11-01",15.32319202,25.622
"1958-12-01",12.62330342,25.622
"1959-01-01",11.26702108,25.631
"1959-02-01",12.46887151,25.631
"1959-03-01",15.77216923,25.631
"1959-04-01",18.74642422,25.631
"1959-05-01",21.00002479,25.631
"1959-06-01",22.63053419,25.631
"1959-07-01",23.75777265,25.631
"1959-08-01",23.33139858,25.631
"1959-09-01",21.48517123,25.631
"1959-10-01",18.55084501,25.631
"1959-11-01",14.74887009,25.631
"1959-12-01",12.27340085,25.631
"1960-01-01",11.18752707,25.64
"1960-02-01",12.97031852,25.64
"1960-03-01",14.83022849,25.64
"1960-04-01",18.01789145,25.64
"1960-05-01",20.73356752,25.64
"1960-06-01",22.8549886,25.64
"1960-07-01",23.24030171,25.64
"1960-08-01",23.18008034,25.64
"1960-09-01",21.53723476,25.64
"1960-10-01",18.65444131,25.64
"1960-11-01",15.31739145,25.64
"1960-12-01",12.28723533,25.64
"1961-01-01",11.07780484,25.649
"1961-02-01",12.77572963,25.649
"1961-03-01",15.85591966,25.649
"1961-04-01",18.66270598,25.649
"1961-05-01",21.02221168,25.649
"1961-06-01",22.78427778,25.649
"1961-07-01",23.36416467,25.649
"1961-08-01",23.22124017,25.649
"1961-09-01",21.82991795,25.649
"1961-10-01",18.7144906,25.649
"1961-11-01",15.21556382,25.649
"1961-12-01",11.83518575,25.649
"1962-01-01",11.04581339,25.658
"1962-02-01",12.63072621,25.658
"1962-03-01",14.75782877,25.658
"1962-04-01",18.22092877,25.658
"1962-05-01",20.83761311,25.658
"1962-06-01",22.16548034,25.658
"1962-07-01",23.18136752,25.658
"1962-09-01",21.42021339,25.658
"1962-10-01",18.5035359,25.658
"1962-11-01",14.99127806,25.658
"1962-12-01",11.79467151,25.658
"1963-01-01",9.768945014,25.667
"1963-02-01",11.92784587,25.667
"1963-03-01",14.85351311,25.667
